MSW_Order,MSW_Binomial,ActivityCycle,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLOhr,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km,HomeRange_Indiv_km,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,PopulationDensity_n_km,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Mean_n_km,HuPopDen_Change,ref_count
Artiodactyla,Camelus dromedarius,3,NA,1651.62,40293,3,NA,386.51,1,196.32,NA,614.41,0.98,1,480,0.98,11,1947.94,10,NA,1,1,389.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
Carnivora,Canis adustus,1,NA,NA,NA,6,329.99,65,1,1.01,1.01,NA,4.5,NA,137,0.74,NA,249.88,NA,8,1,2,52.89,NA,NA,NA,NA,10581413.14,16.72,-28.73,-6,43.55,-17.53,13,35.2,0.14,6
Carnivora,Canis aureus,2,7.5,NA,NA,6,NA,61.24,1,2.95,3.13,365,3.74,NA,192,0.22,NA,371.23,NA,8,1,2,61.3,NA,1.1,NA,NA,25739527.43,47,-4.71,21.14,108.54,-17.05,45.74,79.29,0.1,6
Carnivora,Canis latrans,2,11.94,365,3699,1,255,61.74,1,18.88,19.91,365,5.72,NA,262,0.25,NA,372.9,NA,8,1,3,43.71,NA,1.1,NA,NA,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,27.27,0.06,8
Carnivora,Canis lupus,2,14.01,547.5,11254.2,1,180,63.5,1,159.86,43.13,365,4.98,2,354,0.01,NA,679.37,NA,9,1,3,44.82,NA,NA,NA,NA,50803439.7,83.27,11.48,47.38,179.65,-171.84,3.9,37.87,0.04,11
Artiodactyla,Bos frontalis,2,NA,NA,NA,3,NA,273.75,NA,NA,NA,403.02,1.22,1,314.4,0.54,NA,610.97,40,NA,NA,1,186.67,NA,NA,NA,NA,2294331.63,28.01,2.86,15.43,108.68,73.55,91.12,152.67,0.09,8
Artiodactyla,Bos grunniens,NA,NA,NA,NA,2,NA,273.75,NA,NA,NA,NA,1,1,267,NA,NA,755.15,110,NA,NA,1,243.33,NA,NA,NA,NA,1523540.07,38.88,29.66,34.27,99.23,75.91,87.57,2.03,0.05,5
Artiodactyla,Bos javanicus,2,NA,912.5,NA,2,NA,296.78,1,NA,NA,NA,1.22,1,318.96,0.75,21,797.31,40,NA,1,1,287.74,NA,NA,NA,NA,1687920.66,25.08,-8.78,8.15,118.35,94.94,106.64,139.21,0.11,7
Primates,Callicebus cupreus,3,NA,NA,NA,NA,NA,129.25,1,NA,NA,395.41,1.01,NA,NA,4.89,NA,NA,2.05,NA,2,NA,201.85,NA,1.05,NA,NA,690923.14,-2.5,-10.67,-6.58,-61.59,-74.92,-68.25,1.07,0.05,9
Primates,Callicebus discolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus donacophilus,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,288759.02,-10.45,-21.29,-15.87,-57.52,-67.21,-62.37,3.63,0.17,4
Primates,Callicebus dubius,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Primates,Callicebus hoffmannsi,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,98076.46,-1.95,-6,-3.97,-54.87,-59.21,-57.04,2.6,0.1,4
Primates,Callicebus lucifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus lugens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus medemi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36587.57,0.95,-1.66,-0.35,-74.42,-76.71,-75.56,5.6,0.15,NA
Primates,Callicebus melanochir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60497.71,-12.83,-18.16,-15.5,-38.72,-40.46,-39.59,46.93,0.08,NA
Primates,Callicebus modestus,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,17288.42,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,2.76,0.47,3
Didelphimorphia,Caluromys derbianus,1,NA,NA,215.11,3,NA,NA,1,NA,NA,NA,3.14,NA,60,11.86,NA,251.71,1,NA,2,2,NA,NA,NA,NA,NA,678553.48,20.73,-2.92,8.9,-76.63,-98.33,-87.48,53.45,0.14,11
Didelphimorphia,Caluromys lanatus,1,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,60,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,3683731.12,9.07,-28.1,-9.51,-53.2,-77.39,-65.29,5.36,0.13,5
Didelphimorphia,Caluromys philander,1,75,334.58,NA,4,NA,23.99,2,0.009960363,0.02,166.5,4.18,2,76,62.32,NA,314.52,1,7,2,2,119.65,NA,NA,NA,NA,3212264.13,12.2,-24.58,-6.19,-40.35,-72.87,-56.61,39.68,0.12,18
Didelphimorphia,Caluromysiops irrupta,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,94,8.85,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,188864.44,-9.34,-12.69,-11.01,-61.99,-73.48,-67.73,3.51,0.27,6
Cingulata,Calyptophractus retusus,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1081453.8,-12.69,-29.92,-21.3,-56.47,-65.76,-61.11,4.33,0.12,4
Artiodactyla,Camelus bactrianus,NA,NA,1460,NA,2,NA,397.99,1,NA,NA,730,1.39,1,480,0.06,NA,1330.6,6.2,NA,1,1,368.13,NA,NA,NA,NA,188693,44.71,37.98,41.34,97.58,90.75,94.17,1.83,0.01,9
Artiodactyla,Bos sauveli,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,755.15,20,NA,1,1,NA,NA,NA,NA,NA,115557.18,15.48,12.04,13.76,107.85,102.98,105.42,36.95,0.12,4
Artiodactyla,Bos taurus,NA,NA,NA,NA,NA,NA,280.48,NA,10.04,NA,NA,NA,1,240,NA,NA,755.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,44447.62,15.08,11.85,13.46,108.99,107.08,108.04,42.48,0.15,6
Artiodactyla,Boselaphus tragocamelus,NA,NA,912.5,NA,5,NA,248.49,NA,NA,NA,400.5,1.39,NA,260.4,2.39,NA,NA,NA,NA,NA,1,NA,NA,1.05,NA,NA,2192564.81,33,11.71,22.35,87.08,68.93,78,313.3,0.09,6
Rodentia,Brachiones przewalskii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940177.9,42.86,35.46,39.16,102.85,77.15,90,5.36,0.05,NA
Carnivora,Canis mesomelas,2,NA,NA,NA,6,270,62.5,1,11.93,12.82,273.75,3.89,NA,168,0.74,NA,241.4,NA,8,1,2,34.1,NA,1.27,NA,NA,6248779.95,16.47,-34.83,-9.18,51.41,11.71,31.56,30.81,0.11,6
Carnivora,Canis simensis,3,NA,NA,NA,1,180,63.61,1,4.2,5.02,365,NA,NA,NA,1.2,NA,754.74,NA,8,1,3,69.6,NA,1.1,NA,NA,11402.81,13.31,6.55,9.93,39.96,38.02,38.99,99.87,0.15,4
Rodentia,Cannomys badius,NA,NA,NA,172,NA,NA,41.49,NA,NA,NA,NA,2,NA,48,NA,NA,NA,NA,NA,NA,NA,50.1,NA,NA,NA,NA,818286,27.85,11.82,19.83,105.88,84.65,95.26,86.5,0.07,3
Rodentia,Cansumys canus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267130.76,35.6,31.09,33.34,115.62,102.25,108.94,218.11,0.06,NA
Cetacea,Caperea marginata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Artiodactyla,Capra caucasica,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,1.09,NA,264,NA,NA,1015,NA,3,NA,NA,NA,NA,NA,NA,NA,32781.87,43.82,40.83,42.33,48.52,40,44.26,40.22,0.02,5
Artiodactyla,Capra falconeri,3,NA,730,NA,2,NA,167.98,1,NA,NA,NA,1.73,NA,168,NA,11,1015,NA,NA,1,1,167.29,NA,NA,NA,NA,155075.85,38.9,28.84,33.87,75.48,65.04,70.26,88.36,0.16,7
Artiodactyla,Capra hircus,NA,NA,669.16,NA,2,NA,156,NA,98.3,47.24,365,1.45,NA,249.6,7.58,NA,498.97,NA,3,NA,1,158.04,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Artiodactyla,Capra ibex,NA,NA,912.5,NA,2,NA,167.5,1,NA,NA,547.5,1.11,NA,267.6,NA,NA,838.54,NA,3,1,1,111.75,NA,0.89,NA,NA,145098.13,47.9,43.76,45.83,15.5,4.76,10.13,135.27,0.03,7
Erinaceomorpha,Atelerix algirus,1,NA,NA,NA,3,NA,39.25,NA,NA,NA,NA,2.5,2,84,NA,NA,NA,NA,NA,NA,2,39.7,NA,NA,NA,NA,815329.89,37.34,30.13,33.74,21.77,-9.89,5.94,95.57,0.11,5
Erinaceomorpha,Atelerix frontalis,1,10,NA,NA,6,NA,37.13,1,NA,NA,NA,4.99,1.5,NA,NA,NA,411.43,1,6,1,2,34.8,NA,NA,NA,NA,1497998.13,-12.43,-33.62,-23.03,31.09,11.76,21.42,16.7,0.1,8
Erinaceomorpha,Atelerix sclateri,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.17,NA,NA,NA,198274.28,11.98,6.32,9.15,51.41,45.44,48.42,5.95,0.04,1
Primates,Ateles belzebuth,3,NA,NA,NA,2,NA,138.2,1,2.28,3.24,NA,1.02,NA,336,13.49,NA,NA,14.5,NA,2,1,NA,NA,NA,NA,NA,1030364.23,4.08,-4.98,-0.44,-60.12,-78.54,-69.33,2.79,0.11,15
Primates,Ateles chamek,3,NA,NA,NA,2,NA,NA,1,1.16,NA,NA,NA,NA,NA,3.39,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,990902.31,-2.58,-11.43,-7.01,-62.25,-77.21,-69.73,1.62,0.1,7
Primates,Ateles fusciceps,3,NA,1773.9,NA,2,NA,224.7,1,NA,NA,851.66,1.01,NA,288,NA,NA,1799.68,NA,NA,2,1,482.7,NA,0.71,NA,NA,201579.73,11.11,1.77,6.44,-73.92,-79.12,-76.52,85.93,0.11,12
Primates,Ateles geoffroyi,3,NA,2080.5,NA,2,NA,226.37,1,0.73,1.07,1048.15,1.01,NA,327.6,19.06,NA,2104.57,42,NA,2,1,816.35,NA,0.64,NA,NA,806609.19,24.09,0.67,12.38,-70.23,-98.85,-84.54,55.14,0.14,18
Primates,Ateles hybridus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144643.82,11.35,6.26,8.8,-66.36,-75.27,-70.82,54,0.13,NA
Primates,Ateles marginatus,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,831855.4,-0.54,-8.84,-4.69,-47.7,-64.33,-56.01,4.83,0.11,3
Primates,Ateles paniscus,3,NA,1825,NA,6,NA,228.18,1,1.36,2.19,1072.18,1,NA,453.6,8,NA,2104.57,20,NA,2,2,805.41,NA,0.63,NA,NA,892635.1,7.28,-3.14,2.06,-50.44,-61.85,-56.14,3.25,0.08,22
Primates,Callicebus moloch,3,NA,1095,NA,3,NA,164,1,0.02,0.03,365,1.01,NA,303.6,18.43,NA,1262.74,2.95,NA,2,2,58.85,NA,1.1,NA,NA,911442.78,-1.3,-14.1,-7.7,-48.19,-58.29,-53.24,2.4,0.13,18
Primates,Callicebus nigrifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513267.9,-16.37,-24.44,-20.4,-41.86,-51.33,-46.6,136.21,0.05,NA
Primates,Callicebus oenanthe,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,5807.21,-5.16,-5.98,-5.57,-76.96,-77.67,-77.31,8.33,0.06,3
Primates,Callicebus olallae,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,17288.42,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,2.76,0.47,3
Primates,Callicebus ornatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23066.97,4.38,2.18,3.28,-73.68,-74.77,-74.23,104.04,0.12,NA
Primates,Callicebus pallescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93328.33,-16.39,-21.29,-18.84,-57.52,-61.25,-59.39,0.63,0.1,NA
Primates,Callicebus personatus,3,NA,NA,NA,4,NA,NA,1,0.03,0.05,NA,1.01,NA,NA,13.03,NA,NA,2.35,NA,2,1,NA,NA,NA,NA,NA,172664.46,-16.02,-22.48,-19.25,-39.58,-43.08,-41.33,47.74,0.06,12
Primates,Callicebus purinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus regulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus stephennashi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus torquatus,3,NA,NA,NA,4,NA,NA,1,0.11,0.14,NA,1.01,NA,NA,10.2,NA,1683.65,3.85,NA,2,2,121.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Primates,Callimico goeldii,3,NA,491.83,NA,2,NA,153.99,1,0.32,0.45,182.5,1.05,NA,214.8,2.08,NA,413.84,6.85,NA,2,2,66.53,NA,1.56,NA,NA,462922.05,0.97,-11.64,-5.33,-67.04,-77.15,-72.1,3,0.11,17
Rodentia,Callistomys pictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37773.91,-11.33,-13.77,-12.55,-37.36,-39.75,-38.55,211.59,0.08,0
Primates,Callithrix acariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79622.42,-8.06,-11.18,-9.62,-61.58,-65.11,-63.34,7.5,0.43,NA
Primates,Callithrix argentata,3,NA,609.55,NA,4,NA,NA,1,NA,NA,219.6,1.84,NA,201.6,7.52,NA,701.52,9.5,NA,2,2,NA,NA,1.42,NA,NA,123514,-1.09,-5.09,-3.09,-49.38,-55.24,-52.31,3.87,0.13,13
Primates,Callithrix aurita,3,NA,NA,NA,3,NA,140,1,0.08,NA,NA,2,NA,NA,NA,NA,NA,6,NA,2,2,NA,NA,NA,NA,NA,87653.49,-21.66,-24.65,-23.15,-40.97,-49.07,-45.02,398.77,0.06,6
Primates,Callithrix chrysoleuca,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60733.28,-3.51,-8.03,-5.77,-58.34,-60.52,-59.43,0.44,0.14,1
Primates,Callithrix emiliae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160568.97,-5.54,-13.49,-9.52,-53.34,-56.05,-54.7,1.68,0.17,1
Primates,Callithrix flaviceps,3,NA,NA,NA,3,NA,140,1,0.22,NA,NA,2,NA,NA,11.85,NA,NA,9.8,NA,2,2,NA,NA,NA,NA,NA,27330.89,-20.39,-21.92,-21.16,-40.81,-43.12,-41.96,56.38,0.05,6
Primates,Callithrix geoffroyi,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,132745.3,-16.9,-21.07,-18.99,-39.13,-43.62,-41.38,47.67,0.06,5
Primates,Callithrix humeralifera,3,NA,NA,NA,4,NA,NA,1,0.1,0.13,NA,NA,NA,180,28.32,NA,NA,8.5,NA,2,2,99.01,NA,NA,NA,NA,129628,-2.27,-8.45,-5.36,-55.4,-60.5,-57.95,1.68,0.12,14
Primates,Callithrix humilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21239.49,-5.25,-7.65,-6.45,-60.13,-61.49,-60.81,0.6,0,NA
Primates,Callithrix intermedia,3,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,2,NA,NA,19.97,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,73178.5,-4.13,-11.95,-8.04,-59.01,-60.88,-59.95,0.39,0.53,2
Primates,Callithrix jacchus,3,NA,555.1,152,5,NA,144,1,0.02,NA,159.8,2.31,NA,201.6,508.18,NA,455.99,8.55,NA,2,2,60.24,NA,1.67,NA,NA,604264.4,-2.78,-10.38,-6.58,-34.79,-45.78,-40.28,61.47,0.06,24
Primates,Callithrix kuhlii,3,NA,NA,NA,4,NA,NA,1,0.06,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,34583.88,-14.4,-16.84,-15.62,-38.85,-40.32,-39.59,32.31,0.08,5
Primates,Callithrix leucippe,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14616.07,-3.85,-5.41,-4.63,-55.11,-56.36,-55.73,1.5,0.16,1
Primates,Callithrix manicorensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18875.99,-5.31,-7.64,-6.48,-60.2,-61.51,-60.85,0.6,0,NA
Primates,Callithrix marcai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44500.24,-7.83,-12.06,-9.95,-59.48,-60.83,-60.16,0.77,0.64,NA
Primates,Callithrix mauesi,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2038.88,-2.95,-3.45,-3.2,-56.56,-57.05,-56.81,5.75,0.14,2
Primates,Callithrix melanura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543620.62,-8.59,-19.88,-14.23,-53.2,-65.04,-59.12,4.24,0.22,NA
Primates,Callithrix nigriceps,3,NA,NA,NA,4,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,24958.88,-6.18,-8.8,-7.49,-61.41,-62.77,-62.09,1.33,0.12,4
Primates,Callithrix penicillata,3,NA,NA,NA,NA,NA,NA,1,0.01,NA,NA,2,NA,NA,NA,NA,NA,5.9,NA,2,NA,NA,NA,NA,NA,NA,1325473.3,-2.32,-23.03,-12.68,-40.15,-52.33,-46.24,23.65,0.07,7
Primates,Callithrix pygmaea,3,0,840.41,113.99,3,NA,134.44,1,0.002117904,0.003087223,182.5,1.93,NA,181.2,15.9,NA,708.5,6,NA,2,2,90.73,NA,1.56,NA,NA,1508925.87,0.59,-12.52,-5.96,-61.36,-78.52,-69.94,2.19,0.1,23
Primates,Callithrix saterei,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18742.81,-3.94,-6.34,-5.14,-58.04,-59.64,-58.84,0.75,0.16,1
Carnivora,Callorhinus ursinus,2,0,NA,NA,6,120,358.49,2,NA,NA,365,1.04,0.5,420,18,NA,1683.65,NA,NA,1,2,108.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
Rodentia,Callosciurus adamsi,3,NA,NA,NA,6,NA,NA,1,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,30384.46,5.47,2.22,3.84,117.88,113.3,115.59,9.09,0.16,2
Rodentia,Callosciurus albescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432350.65,5.65,-5.94,-0.14,106.08,95.18,100.63,92.24,0.14,NA
Rodentia,Callosciurus baluensis,3,NA,NA,NA,6,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,20853.19,6.26,3.48,4.87,117.07,114.56,115.82,18.16,0.26,0
Rodentia,Callosciurus caniceps,NA,NA,NA,NA,NA,NA,NA,1,0.01,0.01,NA,2.19,NA,114,18.6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,420861.69,20.24,2.65,11.44,103.04,97.69,100.36,112.44,0.08,6
Rodentia,Callosciurus erythraeus,NA,NA,NA,NA,3,NA,NA,1,0.008950755,0.008781353,NA,1.94,2,193.2,622.69,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2354368.13,31.76,6.6,19.18,122.13,88.61,105.37,206.18,0.08,8
Rodentia,Callosciurus finlaysonii,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,723854.08,20.23,8.55,14.39,108.18,97.26,102.72,114.64,0.1,0
Rodentia,Callosciurus inornatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235249.21,23.1,17.77,20.43,106.37,100.41,103.39,113.42,0.11,NA
Rodentia,Callosciurus melanogaster,3,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,5140.87,-0.91,-2.85,-1.88,100.22,98.58,99.4,56.87,0.08,1
Rodentia,Callosciurus nigrovittatus,3,NA,NA,NA,6,NA,NA,1,0.01,0.01,NA,2.36,NA,NA,5.75,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,1450546.42,7.64,-8.78,-0.56,119.26,95.18,107.22,153.65,0.14,6
Rodentia,Callosciurus notatus,3,NA,NA,NA,6,NA,NA,1,0.02,0.01,NA,2.62,NA,115.2,98.32,NA,413.84,NA,5,2,2,NA,NA,NA,NA,NA,1474469.76,9.25,-8.78,0.23,119.26,95.18,107.22,153.2,0.14,8
Rodentia,Callosciurus orestes,3,NA,NA,NA,6,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,35107.14,6.13,1.91,4.02,117.52,114.19,115.85,10.34,0.23,0
Rodentia,Callosciurus phayrei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99941.58,25.01,16.95,20.98,99.69,96.89,98.29,45.75,0.06,NA
Rodentia,Callosciurus prevostii,3,NA,NA,NA,6,NA,46.08,1,NA,NA,NA,1.29,NA,68,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,1315342.19,7.06,-5.94,0.55,119.26,95.18,107.22,71.14,0.15,5
Rodentia,Callosciurus pygerythrus,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,503627.21,27.67,16.5,22.08,104.04,90.28,97.16,153.56,0.07,0
Rodentia,Callosciurus quinquestriatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21108.92,25.83,23.59,24.71,98.98,97.46,98.22,63.02,0.06,NA
Rodentia,Calomys boliviae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108148.2,-17.09,-22.5,-19.8,-63.82,-66.27,-65.04,11.29,0.09,0
Rodentia,Calomys callidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rodentia,Calomys callosus,NA,NA,42,55.82,NA,NA,21.8,2,NA,NA,21,4.91,3,NA,354.3,NA,43.18,NA,NA,1,NA,18.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Rodentia,Calomys expulsus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Rodentia,Calomys hummelincki,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,333859.81,12.19,5.54,8.87,-61.01,-72.19,-66.6,23.88,0.14,1
