host,hostOrder,parasite,parType,banesh,brook,eid,gmpd,nhml,oli
Coragyps atratus,Accipitriformes,Cryptosporidium baileyi,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium bovis,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Cryptosporidium canis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium canis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium cuniculus,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium fayeri,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium felis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium hominis,protozoa,0,0,1,0,0,0
Macaca mulatta,Primates,Cryptosporidium hominis,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Cryptosporidium meleagridis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium meleagridis,protozoa,0,0,1,0,0,0
Maccullochella peelii,Centrarchiformes,Cryptosporidium molnari,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Cryptosporidium muris,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cryptosporidium muris,protozoa,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Cryptosporidium parvum,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Cryptosporidium parvum,protozoa,0,0,1,1,0,0
Cervus elaphus,Artiodactyla,Cryptosporidium parvum,protozoa,0,0,1,1,0,0
Homo sapiens,Primates,Cryptosporidium parvum,protozoa,0,0,1,0,0,0
Macaca mulatta,Primates,Cryptosporidium parvum,protozoa,0,0,1,1,0,0
Zalophus californianus,Carnivora,Cryptosporidium parvum,protozoa,0,0,1,1,0,0
Homo sapiens,Primates,Cryptosporidium ubiquitum,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Culex quinquefasciatus,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Cupriavidus basilensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Cupriavidus taiwanensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Cyclospora cayetanensis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Cystoisospora belli,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Cystoisospora ohioensis,protozoa,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Dactylogyrus achmerowi,helminth,0,0,1,0,1,0
Cyprinus carpio,Cypriniformes,Dactylogyrus anchoratus,helminth,0,0,1,0,1,0
Cyprinus carpio,Cypriniformes,Dactylogyrus extensus,helminth,0,0,1,0,1,0
Cyprinus carpio,Cypriniformes,Dactylogyrus vastator,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Delftia acidovorans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Delftia tsuruhatensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Demodex brevis,arthropod,0,0,1,0,0,0
Canis lupus,Carnivora,Demodex canis,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Demodex folliculorum,arthropod,0,0,1,0,0,0
Alces alces,Artiodactyla,Dermacentor albipictus,arthropod,0,0,1,1,0,0
Odocoileus virginianus,Artiodactyla,Dermacentor albipictus,arthropod,0,0,1,1,0,0
Odocoileus virginianus,Artiodactyla,Dermacentor variabilis,arthropod,0,0,1,1,0,0
Ursus americanus,Carnivora,Dermacentor variabilis,arthropod,0,0,1,1,0,0
Passer domesticus,Passeriformes,Dermatophagoides evansi,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Dermatophilus congolensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Desmospora activa,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Desulfomicrobium orale,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Desulfovibrio desulfuricans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Desulfovibrio piger,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dialister invisus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dialister micraerophilus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dialister pneumosintes,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dialister succinatiphilus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Diaphorobacter nitroreducens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dicrocoelium dendriticum,helminth,0,0,1,0,0,0
Alces alces,Artiodactyla,Dictyocaulus capreolus,helminth,0,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Dictyocaulus eckerti,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Dictyostelium discoideum,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Dictyostelium polycephalum,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Dientamoeba fragilis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Dietzia maris,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dietzia natronolimnaea,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dietzia timorensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dioctophyme renale,helminth,0,0,1,0,0,0
Canis lupus,Carnivora,Diphyllobothrium nihonkaiense,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Diphyllobothrium pacificum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Diplogonoporus grandis,helminth,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Diplostomum mergi,helminth,0,0,1,0,1,0
Cyprinus carpio,Cypriniformes,Diplozoon nipponicum,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Dipylidium caninum,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Dirofilaria immitis,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Dirofilaria immitis,helminth,0,0,1,0,0,0
Canis lupus,Carnivora,Dirofilaria repens,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Dirofilaria repens,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Dirofilaria tenuis,helminth,0,0,1,0,0,0
Ursus americanus,Carnivora,Dirofilaria ursi,helminth,0,0,1,1,1,0
Phoebastria immutabilis,Procellariiformes,Docophoroides niethamerri,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Dokdonella koreensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dolosigranulum pigrum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dorea formicigenerans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Dorea longicatena,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Echinochasmus japonicus,helminth,0,0,1,0,0,0
Alces alces,Artiodactyla,Echinococcus canadensis,helminth,1,0,1,0,0,0
Cervus elaphus,Artiodactyla,Echinococcus canadensis,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Echinococcus canadensis,helminth,1,0,1,0,0,0
Rangifer tarandus,Artiodactyla,Echinococcus canadensis,helminth,1,0,1,0,0,0
Alces alces,Artiodactyla,Echinococcus granulosus,helminth,0,0,1,1,1,0
Canis lupus,Carnivora,Echinococcus granulosus,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Echinococcus granulosus,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinococcus multilocularis,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Echinococcus oligarthrus,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinococcus vogeli,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinoparyphium recurvatum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinostoma cinetorchis,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinostoma hortense,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinostoma ilocanum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Echinostoma revolutum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Edwardsiella tarda,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eggerthella lenta,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Ehrlichia canis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Ehrlichia canis,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Ehrlichia chaffeensis,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Ehrlichia chaffeensis,bacteria,0,0,1,0,0,0
Odocoileus virginianus,Artiodactyla,Ehrlichia chaffeensis,bacteria,0,0,1,1,0,0
Canis lupus,Carnivora,Ehrlichia ewingii,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Ehrlichia ewingii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Ehrlichia ruminantium,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eikenella corrodens,bacteria,0,0,1,0,0,0
Phalacrocorax auritus,Pelecaniformes,Eimeria auritusi,protozoa,0,0,1,0,0,0
Phalacrocorax auritus,Pelecaniformes,Eimeria phalacrocoraxae,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Elizabethkingia meningoseptica,bacteria,0,0,1,0,0,0
Rangifer tarandus,Artiodactyla,Entamoeba bovis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Entamoeba chattoni,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Entamoeba coli,protozoa,0,0,1,0,0,0
Pan troglodytes,Primates,Entamoeba coli,protozoa,0,0,1,1,0,0
Homo sapiens,Primates,Entamoeba dispar,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Entamoeba hartmanni,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Entamoeba histolytica,protozoa,0,0,1,0,0,0
Macaca mulatta,Primates,Entamoeba histolytica,protozoa,0,0,1,1,0,0
Homo sapiens,Primates,Entamoeba moshkovskii,protozoa,0,0,1,0,0,0
Macaca mulatta,Primates,Entamoeba nuttalli,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Entamoeba polecki,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter aerogenes,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Enterobacter amnigenus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter amnigenus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter asburiae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter cancerogenus,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Enterobacter cloacae,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Enterobacter cloacae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter hormaechei,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter kobei,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterobacter ludwigii,bacteria,0,0,1,0,0,0
Pan troglodytes,Primates,Enterobius anthropopitheci,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Enterobius gregorii,helminth,0,0,1,0,0,0
Pan troglodytes,Primates,Enterobius vermicularis,helminth,1,0,1,1,0,0
Homo sapiens,Primates,Enterococcus avium,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Enterococcus canis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus casseliflavus,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Enterococcus durans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus durans,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Enterococcus faecalis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus faecalis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus faecium,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus gallinarum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus gilvus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus hawaiiensis,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Enterococcus hirae,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Enterococcus hirae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus hirae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus italicus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus mundtii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus pallens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus raffinosus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus sanguinicola,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Enterococcus thailandicus,bacteria,0,0,1,0,0,0
Haliaeetus albicilla,Accipitriformes,Erysipelothrix rhusiopathiae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Erysipelothrix rhusiopathiae,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Erysipelothrix tonsillarum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Erythromicrobium ramosum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Escherichia albertii,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Escherichia coli,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Escherichia coli,bacteria,0,0,1,1,0,0
Cervus elaphus,Artiodactyla,Escherichia coli,bacteria,0,0,1,1,0,0
Ciconia ciconia,Ciconiiformes,Escherichia coli,bacteria,0,0,1,0,0,0
Falco naumanni,Falconiformes,Escherichia coli,bacteria,0,0,1,0,0,0
Hirundo rustica,Passeriformes,Escherichia coli,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Escherichia coli,bacteria,0,0,1,0,0,0
Macaca mulatta,Primates,Escherichia coli,bacteria,0,0,1,1,0,0
Odocoileus virginianus,Artiodactyla,Escherichia coli,bacteria,0,0,1,1,0,0
Papio cynocephalus,Primates,Escherichia coli,bacteria,0,0,1,1,0,0
Zalophus californianus,Carnivora,Escherichia coli,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Eubacterium biforme,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium brachy,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium cylindroides,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium hallii,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Eubacterium infirmum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium infirmum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium limosum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium minutum,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Eubacterium nodatum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium nodatum,bacteria,0,0,1,0,0,0
Rangifer tarandus,Artiodactyla,Eubacterium rangiferina,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium rectale,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium saburreum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium saphenum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium sulci,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eubacterium yurii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Eucoleus aerophilus,helminth,1,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Eudiplozoon nipponicum,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Eurytrema pancreaticum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Ewingella americana,bacteria,0,0,1,0,0,0
Haliotis rufescens,Lepetellida,Exiguobacterium aurantiacum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Faecalibacterium prausnitzii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fasciola gigantica,helminth,0,0,1,0,0,0
Cervus elaphus,Artiodactyla,Fasciola hepatica,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Fasciola hepatica,helminth,0,0,1,0,0,0
Elephas maximus,Proboscidea,Fasciola jacksoni,helminth,0,0,1,0,1,0
Cervus elaphus,Artiodactyla,Fascioloides magna,helminth,0,0,1,1,1,0
Odocoileus virginianus,Artiodactyla,Fascioloides magna,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Fasciolopsis buski,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Fibricola seoulensis,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Filifactor alocis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Finegoldia magna,bacteria,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Flavobacterium columnare,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Flavobacterium lindanitolerans,bacteria,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Flavobacterium psychrophilum,bacteria,0,0,1,0,0,0
Oncorhynchus tshawytscha,Salmoniformes,Flavobacterium psychrophilum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Flavonifractor plautii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fluoribacter dumoffii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Francisella philomiragia,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Francisella tularensis,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Freyana anatina,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Fusobacterium gonidiaformans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fusobacterium naviforme,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fusobacterium necrophorum,bacteria,0,0,1,0,0,0
Rangifer tarandus,Artiodactyla,Fusobacterium necrophorum,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Fusobacterium nucleatum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fusobacterium periodonticum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Fusobacterium ulcerans,bacteria,0,0,1,0,0,0
Cervus elaphus,Artiodactyla,Fusobacterium varium,bacteria,0,0,1,0,0,0
Odocoileus virginianus,Artiodactyla,Fusobacterium varium,bacteria,0,0,1,0,0,0
Rangifer tarandus,Artiodactyla,Fusobacterium varium,bacteria,0,0,1,0,0,0
Zalophus californianus,Carnivora,Fusobacterium varium,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Gallibacterium anatis,bacteria,0,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Gallibacterium salpingitidis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Gardnerella vaginalis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Gemella haemolysans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Gemella morbillorum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Gemella sanguinis,bacteria,0,0,1,0,0,0
Alces alces,Artiodactyla,Giardia intestinalis,protozoa,0,0,1,1,0,0
Anser anser,Anseriformes,Giardia intestinalis,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Giardia intestinalis,protozoa,0,0,1,1,0,0
Cervus elaphus,Artiodactyla,Giardia intestinalis,protozoa,0,0,1,1,0,0
Homo sapiens,Primates,Giardia intestinalis,protozoa,0,0,1,0,0,0
Odocoileus virginianus,Artiodactyla,Giardia intestinalis,protozoa,0,0,1,1,0,0
Pan troglodytes,Primates,Giardia intestinalis,protozoa,0,0,1,1,0,0
Rangifer tarandus,Artiodactyla,Giardia intestinalis,protozoa,0,0,1,1,0,0
Macropus eugenii,Diprotodontia,Globocephaloides trifidospicularis,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Gnathostoma binucleatum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Gnathostoma doloresi,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Gnathostoma hispidum,helminth,0,0,1,0,0,0
Lontra canadensis,Carnivora,Gnathostoma miyazakii,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Gnathostoma nipponicum,helminth,0,0,1,0,0,0
Canis lupus,Carnivora,Gnathostoma spinigerum,helminth,1,0,1,0,1,0
Homo sapiens,Primates,Gnathostoma spinigerum,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Gordonia aichiensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Gordonia terrae,bacteria,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Goussia carpelli,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Granulicatella adiacens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Granulicatella elegans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Grimontia hollisae,bacteria,0,0,1,0,0,0
Crocodylus johnsoni,Crocodylia,Griphobilharzia amoena,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Guggenheimella bovis,bacteria,0,0,1,0,0,0
Isurus oxyrinchus,Lamniformes,Gymnorhynchus isuri,helminth,0,0,1,0,1,0
Esox lucius,Esociformes,Gyrodactylus lucii,helminth,0,0,1,0,1,0
Canis lupus,Carnivora,Haemaphysalis leachi,arthropod,0,0,1,0,0,0
Elephas maximus,Proboscidea,Haematomyzus elephantis,arthropod,0,0,1,0,0,0
Phacochoerus aethiopicus,Artiodactyla,Haematopinus pacochoeri,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Haemonchus contortus,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Haemophilus aegyptius,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Haemophilus ducreyi,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Haemophilus haemolyticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Haemophilus influenzae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Haemophilus parahaemolyticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Haemophilus parainfluenzae,bacteria,0,0,1,0,0,0
Passer domesticus,Passeriformes,Haemoproteus passeris,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Hafnia alvei,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Hammondia heydorni,protozoa,0,0,1,0,0,0
Chelydra serpentina,Testudines,Hapalorhynchus gracilis,helminth,0,0,1,0,1,0
Hirundo rustica,Passeriformes,Haplochthonius simplex,arthropod,0,0,1,0,0,0
Canis lupus,Carnivora,Haplorchis pumilio,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Haplorchis pumilio,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Haplorchis taichui,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Haplorchis yokogawai,helminth,0,0,1,0,0,0
Phoebastria immutabilis,Procellariiformes,Harrisoniella densa,arthropod,0,0,1,0,0,0
Canis lupus,Carnivora,Helicobacter bizzozeronii,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Helicobacter canis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Helicobacter cinaedi,bacteria,0,0,1,0,0,0
Macaca mulatta,Primates,Helicobacter cinaedi,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Helicobacter felis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Helicobacter heilmannii,bacteria,0,0,1,0,0,0
Macaca mulatta,Primates,Helicobacter heilmannii,bacteria,0,0,1,0,0,0
Macaca mulatta,Primates,Helicobacter macacae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Helicobacter pullorum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Helicobacter pylori,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Helicobacter salomonis,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Hepatozoon americanum,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Hepatozoon canis,protozoa,0,0,1,0,0,0
Panthera pardus,Carnivora,Hepatozoon felis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Herminiimonas saxobsidens,bacteria,0,0,1,0,0,0
Chelydra serpentina,Testudines,Heronimus mollis,helminth,0,0,1,0,1,0
Canis lupus,Carnivora,Heterobilharzia americana,helminth,0,0,1,1,1,0
Homo sapiens,Primates,Heterobilharzia americana,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Heterophyes heterophyes,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Heterophyes nocens,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Heterophyopsis continua,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Hymenolepis diminuta,helminth,0,0,1,0,0,0
Cervus elaphus,Artiodactyla,Hypoderma actaeon,arthropod,0,0,1,1,0,0
Rangifer tarandus,Artiodactyla,Hypoderma tarandi,arthropod,0,0,1,1,0,0
Phalacrocorax auritus,Pelecaniformes,Hysteromorpha triloba,helminth,0,0,1,0,1,0
Homo sapiens,Primates,Ignatzschineria indica,bacteria,0,0,1,0,0,0
Alces alces,Artiodactyla,Ixodes ricinus,arthropod,0,0,1,1,0,0
Cervus elaphus,Artiodactyla,Ixodes ricinus,arthropod,0,0,1,1,0,0
Homo sapiens,Primates,Janibacter anophelis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Johnsonella ignava,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Jonquetella anthropi,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kingella denitrificans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kingella kingae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kingella oralis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Klebsiella granulomatis,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Klebsiella oxytoca,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Klebsiella oxytoca,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Klebsiella pneumoniae,bacteria,0,0,1,1,0,0
Homo sapiens,Primates,Klebsiella pneumoniae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kluyvera ascorbata,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kluyvera cryocrescens,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Kocuria marina,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kocuria polaris,bacteria,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Kurthia gibsonii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kytococcus schroeteri,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Kytococcus sedentarius,bacteria,0,0,1,0,0,0
Macropus eugenii,Diprotodontia,Labiosimplex australis,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus acidipiscis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus acidophilus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus brevis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus casei,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus catenaformis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus coleohominis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus crispatus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus delbrueckii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus fermentum,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus gasseri,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus gastricus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus helveticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus iners,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus jensenii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus johnsonii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus kalixensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Lactobacillus mucosae,bacteria,0,0,1,0,0,0
