Ref_ID,First_Author,Author_All,Journal,YearPublished,Title,Database,DateAccessed,DOI,ISBN
464,Itoh,"Itoh, Inoue, Ishii",GEN COMP ENDOCRINOL,1990,"Annual cycle of pituitary and plasma gonadotropins and plasma sex steroids in a wild population of the toad, Bufo japonicus",null,null,10.1016/0016-6480(90)90011-A,null
465,Itoh,"Itoh, Ishii",GEN COMP ENDOCRINOL,1990,"Changes in plasma levels of gonadotropins and sex steroids in the toad, Bufo japonicus, in association with behavior during the breeding season",null,null,10.1016/0016-6480(90)90194-Q,null
355,Kofron,Kofron,J ZOOL,1990,The reproductive cycle of the Nile crocodile (Crocodylus nilotkus),null,null,10.1111/j.1469-7998.1990.tb04014.x,null
501,Cooper,"Cooper, Guillette",AMPHIBIA-REPTILIA,1991,"Observations on activity, display behavior, coloration, and androgen levels in the keeled earless lizard, Holbrookia propinqua",null,null,10.1163/156853891X00338,null
120,Mays,"Mays, Vleck, Dawson",AUK,1991,"Plasma luteinizing hormone, steroid hormones, behavioral role, and nest stage in cooperatively breeding Harris' hawks (Parabuteo unicinctus)",null,null,10.2307/4088103,null
67,Borgia,"Borgia, Wingfield",CONDOR,1991,Hormonal correlates of bower decoration and sexual display in the satin bowerbird (Ptilonorhynchus violaceus),null,null,10.2307/3247728,null
110,Schoech,"Schoech, Mumme, Moore",CONDOR,1991,Reproductive endocrinology and mechanisms of breeding inhibition in cooperatively breeding Florida scrub Jays (Aphelocoma c. coerulescens),null,null,10.2307/1368951,null
103,Dittami,"Dittami, Hoi, Sageder",ETHOLOGY,1991,Parental investment and territorial/sexual behavior in male and female reed warblers: are they mutually exclusive?,null,null,10.1111/j.1439-0310.1991.tb00279.x,null
564,Berlinsky,"Berlinsky, Specker",FISH PHYS BIOCHEM,1991,"Changes in gonadal hormones during oocyte development in the striped bass, Morone saxatillis",null,null,10.1007/BF01987611,null
333,Bradshaw,"Bradshaw, Saint Girons, Bradshaw",GEN COMP ENDOCR,1991,Patterns of breeding in two species of agamid lizards in the arid subtropical pilbara region of Western Australia,null,null,10.1016/0016-6480(91)90316-X,null
377,Moore,"Moore, Thompson, Marler",GEN COMP ENDOCR,1991,"Reciprocal changes in corticosterone and testosterone levels following acute and chronic handling stress in the tree lizard, Urosaurus ornatus",null,null,10.1016/0016-6480(91)90006-R,null
473,Zerani,"Zerani, Vellano, Amabili, Carnevali, Andreoletti, Polzonetti-Magni ",GEN COMP ENDOCRINOL,1991,Sex steroid profile and plasma vitellogenin during the annual reproductive cycle of the crested newt (Triturus carnifex laur.),null,null,10.1016/0016-6480(91)90308-S,null
616,Cardwell,"Cardwell, Liley",GEN COMP ENDOCRINOL,1991,"Hormonal control of sex and color change in the stoplight parrofish, Sparisoma viride",null,null, 10.1016/0016-6480(91)90120-U ,null
265,Ketterson,"Ketterson, Nolan, Wolf, Ziegenfus, Dufty, Ball, Johnson",HORM BEHAV,1991,Testosterone and avian life histories: The effect of experimentally elevated testosterone on corticosterone and body mass in dark-eyed juncos,null,null,10.1016/0018-506X(91)90016-B,null
607,Kindler,"Kindler, Bahr, Philipp",HORM BEHAV,1991,"The effects of exogenous 11-ketotestosterone, testosterone, and cyproterone acetate on prespawning and parental care behaviors of male bluegill",null,null,10.1016/0018-506X(91)90011-6,null
638,Cardwell,"Cardwell, Liley",HORM BEHAV,1991,"Androgen control of social status in males of a wild population of stoplight parrotfish, Sparison viride (Scaridae)",null,null,10.1016/0018-506X(91)90035-G,null
628,Zakon,"Zakon, Thomas, Yan",J COMP PHYSIOL A,1991,Electric organ discharge frequency and plasma sex steroid levels during gonadal recrudescence in a natural population of the weakly electric fish Sternopygus macrurus,null,null,10.1007/BF00197661,null
219,Wildt,"Wildt, Bush, O'Brien, Murray, Taylor, Graves",J REPROD FERT,1991,Semen characteristics in free-living koalas (Phascolarctos cinereus),null,null,10.1530/jrf.0.0920099 ,null
220,van Jaarsveld,"van Jaarsveld, Skinner",J REPROD FERTIL,1991,Plasma androgens in spotted hyaenas (Crocuta crocuta) influence of social and reproductive development,null,null,10.1530/jrf.0.0930195 ,null
217,Schiewe,"Schiewe, Bush, de Vos, Brown, Wildt",J ZOO WILDL MED,1991,"Semen characteristics, sperm freezing, and endocrine profiles in free-living wildebeest (Connochaetes taurinus) and greather kudu (Tragelaphus strepsiceros)",null,null,http://www.jstor.org/stable/20095119,null
145,Wingfield,"Wingfield, Hegner, Lewis",J ZOOL LOND,1991,"Circulating levels of luteinizing hormone and steroid hormones in relation to social status in the cooperatively breeding white-browed sparrow weaver, Plocepasser mahali",null,null,10.1111/j.1469-7998.1991.tb03800.x,null
