Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
actinomyces naeslundii,Bacteria,homo sapiens,Human,95,34,285797325;285797326;285797327;285797328;285797329;285797330;285797331;285797332;285797333;285797334;285797335;285797336;285797337;285797338;285797339;285797340;285797341;285797342;285797343;285797344;285797345;285797346;285797347;285797348;285797349;285797350;285797351;285797352;285797353;285797354;285797355;285797356;285797357;285797358;285797359;285797360;285797361;285797362;285797363;285797364;285797365;285797366;285797367;285797368;285797369;285797370;285797371;285797372;285797373;285797374;285797375;285797376;285797377;285797378;285797379;285797380;285797381;285797382;285797383;285797384;285797385;285797386;285797387;285797388;285797389;285797390;285797391;285797392;285797393;285797394;285797395;285797396;285797397;285797398;285797399;285797400;285797401;285797402;285797403;290759808;290759809;290759810;290759811;345296746;347311467;347311468;347311469;347311470;347311471;347311472;347311473;347311474;347311475;347311476;347311477,2397195;2675800;2892794;8069882;9088695;9879519;11474036;11705891;12477236;14871353;21195122;19007062;18004487;16369022;15450309;12949945;10802139;9712779;8850582;7795046;7478764;7076291;7068820;7000708;6786220;6409806;6188696;6150008;5275754;3455699;3105855;2062520;387589;10259
actinomyces neuii,Bacteria,homo sapiens,Human,10,0,582055193;582055192;582055191;582055188;582055184;582055183;582055182;582055144;582055185;582055177,NA
actinomyces odontolyticus,Bacteria,homo sapiens,Human,13,4,285192114;285192116;285192118;285192122;285192124;285192126;285192128;285192130;285192132;285192134;290759815;290759816;290759817,1757553;2892794;19348264;6750527
actinomyces oricola,Bacteria,homo sapiens,Human,1,1,285192433,13130041
actinomyces oris,Bacteria,homo sapiens,Human,4,0,290759821;290759822;290759823;347311478,NA
actinomyces radingae,Bacteria,homo sapiens,Human,1,0,285202585,NA
actinomyces turicensis,Bacteria,homo sapiens,Human,1,0,323500669,NA
actinomyces urogenitalis,Bacteria,homo sapiens,Human,1,0,162424446,NA
actinomyces viscosus,Bacteria,homo sapiens,Human,1,24,290759807,24002;387589;3455699;6150008;6347146;6423545;7012014;7478758;11474036;11705891;14622340;15828186;8708128;6961899;6953950;6931554;6840834;6574735;2902012;2535156;2341169;2141877;2098714;1347285
adlercreutzia equolifaciens,Bacteria,homo sapiens,Human,4,0,161085571;161085572;161085573;161085574,NA
aedes aegypti,Arthropod,homo sapiens,Human,1,0,209922259,NA
aerococcus christensenii,Bacteria,homo sapiens,Human,4,0,285204814;285204816;285204818;285204820,NA
aerococcus sanguinicola,Bacteria,homo sapiens,Human,1,0,56566167,NA
aerococcus viridans,Bacteria,homo sapiens,Human,0,6,NA,6694434;11321093;12367778;12451252;12791884;15664949
aeromonas aquariorum,Bacteria,homo sapiens,Human,2,0,404313482;404313486,NA
aeromonas bestiarum,Bacteria,homo sapiens,Human,2,0,402537701;402537911,NA
aeromonas caviae,Bacteria,homo sapiens,Human,6,9,240129545;240129547;240129549;400268307;400268308;400268319,8264423;18939759;20130691;21550680;15387132;12684708;11401962;10849276;2913025
aeromonas enteropelogenes,Bacteria,homo sapiens,Human,1,1,400268317,8932704
aeromonas eucrenophila,Bacteria,cyprinus carpio,Fish,1,0,397914265,NA
aeromonas hydrophila,Bacteria,cyprinus carpio,Fish,5,0,151413613;327202251;327202252;327202253;401823701,NA
