Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
influenza c virus,Virus,canis lupus,Mammal,1,0,57434274,NA
influenza c virus,Virus,homo sapiens,Human,108,27,4520242;2285852;2285806;2285829;2285840;2285863;2285849;2285832;301033229;2285809;2285872;2285860;2285817;2285846;2285869;2285820;2285826;2285803;2285843;4520262;4520302;301033235;4520282;2285823;2285866;2285844;4520254;2285867;4520234;2285818;1944053;2285841;2285864;301033233;2285821;301033241;2285827;2285804;2285835;2285812;2285824;2285861;301033227;2285855;2285847;2285838;257043913;4520274;2285858;4520294;2285815;301033247;4520246;2285856;2285833;4520226;2285822;2285810;2285859;301033225;2285853;2285836;257043911;2285813;301033245;2285873;2285850;2285842;2285839;2285816;4520266;2285807;2285830;4520278;257043917;301033239;4520298;2285870;2285862;2285819;4520286;2285825;2285848;2285837;4520230;4520250;2285871;2285814;4520238;2285805;2285828;2285845;301033237;257043915;2285868;4520290;2285808;2285831;2285854;2285857,1413991;1565137;1848603;2219719;2943076;3178492;3799062;3855244;4404681;6725967;8627256;8872119;9140195;9574726;10482635;10867197;11056564;11262210;11919291;12502803;15287473;16858618;19130168;20495266;14371657;9327748;1154916
inonotus tropicalis,Fungi,homo sapiens,Human,4,0,51103292;51103293;51103294;51103295,NA
ixodes ricinus,Arthropod,alces alces,Mammal,0,5,NA,23541678;21771543;11838199;11272499;7815401
ixodes ricinus,Arthropod,cervus elaphus,Mammal,0,16,NA,25391754;25132534;24069846;24035586;23951125;23786850;23541678;19617485;18664103;18551326;18075156;16524777;12422618;11838199;9226648;8023500
janibacter anophelis,Bacteria,homo sapiens,Human,1,0,254692454,NA
japanese encephalitis virus,Virus,homo sapiens,Human,218,129,488587;5052767;30959384;45451774;45451776;45451778;45451780;45451782;45451784;45451819;45451821;45451823;45451825;45451827;45451829;90019376;90019378;90019380;90019382;90019384;90019386;90019388;90019390;90019392;90019394;90019396;90019412;90576816;90576818;90576820;90576822;90576824;90576826;90576828;90576830;90576832;90576834;90576836;90576838;90576854;115334924;115334926;115334928;115334930;115334932;117670138;117670140;148925208;148925210;148925212;148925214;148925216;148925218;157383927;157383929;157383931;157383933;157383935;157383937;157383939;157383941;157383945;157383959;157383961;157383963;157383969;157383973;157383979;157383983;157383989;157383991;157383993;166092075;167736298;206604160;206604164;239633848;253971269;253971271;253971273;253971275;253971279;253971281;253971285;253971287;253971289;253971291;253971293;253971295;253971297;253971299;254596857;255928863;255928865;255928871;255928873;255928875;255928877;255928879;255928899,207914;231492;453438;814084;1270142;1320343;1337807;1507208;1697849;2174373;2434420;2445910;2472749;2791721;2838962;2885948;2995571;3002650;3149829;4286188;4287081;4353437;4360765;4364873;4400821;6096388;6115565;6189850;6248601;6257827;6315620;6330164;7625527;7711309;7915499;7958466;8228925;8230174;8267950;8816682;8876138;8933552;9733842;10074160;10217584;10441554;10474057;10592829;10798039;10971139;11137043;11160724;11485641;12082985;12323403;12639478;12694177;12725505;12757228;12798027;12858080;12877812;12888695;14693102;14715733;14769905;14993648;15056045;15475343;15533286;16358422;16491947;16899145;16949850;17140098;17161855;17297587;17319165;17869338;17892945;17900219;17981637;18053589;18245932;18337381;18371071;18754956;18760350;18768981;18782399;18973442;19297614;19429906;19667214;19725383;19762996;19863241;19863664;20035788;20106698
jc polyomavirus,Virus,homo sapiens,Human,178,305,1161315;1161316;1161317;1161318;1161321;1161324;1161327;1161329;1161331;11345310;11345317;12056895;12056898;12056903;12056906;12056909;12056912;12056915;12056918;12056921;12056923;12056925;21671106;21671108;21671110;21671112;21671114;21671116;21671118;21671120;21671122;21671124;38156669;190410989;190410990;190410991;190410992;193160738;193160764;194304112;194304114;194304116;194304118;194304120;194304122;194304124;194304126;194580020;209978147;209978148;209978149;226876453;226876456;226876459;226876462;226876464;226876467;226876470;226876473;226876476;226876479;226876482;226876485;226876488;226876491;226876494;226876497;226876500;226876503;226876506;226876509;226876512;226876515;226876518;226876521;226876524;226876527;226876530;226876533;226876536;226876539;238867178;238867180;238867182;238867184;238867186;238867188;238867190;238915639;238915642;238915645;238915648;238915651;238915654;238915657;238915660;266706077;266706107;266706125;266706145,191404;241230;1311910;1316734;1318912;1321139;1382342;1559753;1653819;1656370;1682343;1850908;2157865;2167938;2169500;2171455;2175435;2430282;2432602;2464072;2543798;2559802;2822987;2841118;2845703;2985810;2985939;2991057;3009875;3016161;3040812;3041095;4368786;6244330;6249869;6255188;6283163;6296438;6300615;6302171;6302172;6304748;6304754;6304768;6311956;6312684;6327777;7473491;7491753;7571399;7637031;7650165;7695239;7707064;7791781;7814466;7884891;7994238;8058796;8083645;8106863;8158020;8248262;8249277;8259683;8278022;8309257;8384357;8395189;8410079;8642666;8648759;8661431;8764570;8818966;8948859;8978445;9010300;9020918;9055998;9093235;9094062;9123834;9174643;9191941;9207343;9210032;9262055;9405649;7991125;6507732;9520997;9573227;9599332;9718131;9747723;9776228;9776231;9861002;9877195
johnsonella ignava,Bacteria,homo sapiens,Human,13,0,285183571;285183572;285183573;285183574;285183575;285183576;285183577;285183578;285183579;285183580;285183581;285183582;285183583,NA
jonquetella anthropi,Bacteria,homo sapiens,Human,8,0,254305089;254305090;254305091;285197589;285197591;285197593;285197595;285197597,NA
junin virus,Virus,homo sapiens,Human,40,28,114149952;114149955;114149958;114149961;114149964;114149968;114149973;114149976;114149980;114149983;124001932;124001934;124001936;124001938;124001940;124001942;124001944;124001946;124001948;124001950;124442367;124442370;124442373;124442376;124442379;124442382;124442385;124442388;124442391;126644357;334717197;334717195;334717193;334717191;334717189;334717223;334717221;334717219;334717217;334717215,50390;182401;227811;1338783;1649909;1654168;1965845;2170437;2850346;2983013;3023540;3025358;6247264;7476104;8383393;8388396;12448691;12526057;12888881;14595590;15831960;18417570;19278272;20419155;20926559;21115797;21451263;21795336
juquitiba virus,Virus,homo sapiens,Human,6,0,165975073;401879090;401879092;401879093;401879094;433680127,NA
kemerovo virus,Virus,homo sapiens,Human,1,0,595765120,NA
khawia sinensis,Helminth,cyprinus carpio,Fish,33,0,10312153;169203937;169203962;356482496;356482498;356482500;356482514;356482515;356482516;356482525;356482526;356482527;356482540;356482546;356482548;397913407;397913408;397913409;397913410;397913411;397913412;397913413;397913414;397913415;397913416;397913417;397913418;397913419;397913420;397913421;397913422;397913423;397913424,NA
kingella denitrificans,Bacteria,homo sapiens,Human,163,2,285178201;285178202;285178203;285178205;285178206;285178208;285178210;285178212;285178213;285178214;285178216;285178218;285178220;285178221;285178223;285178226;285178227;285178228;285178229;285178232;285178233;285178235;285178238;324980381;324980383;324980385;324980387;324980389;324980391;324980393;324980395;324980397;324980399;324980402;324980403;324980520;324980559;324980582;324980642;324980777;324980885;324981003;324981060;324981063;324981072;324981107;324981111;324981117;324981127;324981138;324981195;324981280;324981319;324981325;324981330;324981341;324981360;324981416;324981475;324981563;324981716;324981754;324981786;324981800;324981805;324981842;324982139;324982192;324982308;324982311;324982322;324982328;324982335;324982433;324982442;324982734;324982787;324982791;324982878;324982930;324982956;325265582;325265608;325265660;325265747;325265751;325265804;325266096;325266105;325266203;325266210;325266216;325266227;325266230;325266346;325266399;325266696;325266733;325266738;325266752,8308323;8347509
kingella kingae,Bacteria,homo sapiens,Human,149,8,258642226;258642228;258642230;258642232;258642234;258642236;258642238;258642240;258642242;258642244;258642246;258642248;258642250;258642252;258642253;258642255;258642257;258642259;258642261;258642263;258642265;258642267;258642269;258642271;258642273;258642275;258642277;258642279;258642281;258642283;258642285;332967555;332967563;332967570;332967575;332967583;332967589;332967595;332967606;332967614;332967622;332967628;332967635;332967644;332967652;332967660;332967709;332967772;332967811;332967851;332967900;332967908;332967929;332968115;332968136;332968176;332968211;332968269;332968313;332968401;332968481;332968522;332968557;332968611;332968739;332968819;332968966;332969008;332969110;332969137;332969240;332969300;332969446;332969559;332969708;332969744;332969820;332969849;332969860;332969940;332970078;332970250;332970463;332970530;332970597;332970669;332970852;332970925;332970984;332971025;332971088;332971118;332971125;332971340;332971349;332971428;332971435;332971492;332971826;332971869,1915510;8347509;9810657;14690666;17634309;18251654;21443941;6613942
kingella oralis,Bacteria,homo sapiens,Human,78,0,285192226;285192228;285192230;285192232;285192234;285192236;285192238;285192242;285192246;285192250;285192252;285192254;285192256;285192257;285192258;285192259;285192261;285192262;285192264;285192266;285192268;285192270;285192272;285192274;285192276;285192278;285192280;285192282;285192283;285192285;285192287;285192291;285192293;285192295;285192297;285192299;285192301;285192303;285192305;285192307;285192309;285192311;285192313;285192315;285192317;285192319;285192321;285192323;285192327;285192329;285192331;285192333;285192335;285192337;285192339;285192341;285192343;285192345;285192347;285192351;285192355;285192357;285192359;285192361;285192363;285192365;285192367;285192369;285192371;285192373;285192375;285192379;285192381;285192383;285192385;285192387;285192391;290759926,NA
klebsiella granulomatis,Bacteria,homo sapiens,Human,1,4,1781367,1959951;2725241;11095835;19871441
klebsiella oxytoca,Bacteria,canis lupus,Mammal,1,0,57337361,NA
klebsiella oxytoca,Bacteria,homo sapiens,Human,19,17,124053930;195973228;195973229;195973230;195973231;197209641;222350149;283520637;283520679;283520681;283520745;283520747;283520811;283520813;284820506;313756897;313756900;353441950;353441956,7240404;7607059;8187383;8880497;9161610;9868968;11598543;14638475;15265615;17825422;18297453;18700685;19240073;19658320;19899618;20232222;20656680
klebsiella pneumoniae,Bacteria,canis lupus,Mammal,2,14,170785713;170785720,796692;808525;1500360;3551830;6674532;6996543;9915815;10216115;11991409;13709648;14535933;14766658;15845463;17201824
klebsiella pneumoniae,Bacteria,homo sapiens,Human,412,256,24459259;24459262;124053924;124053926;124053928;124053932;124053934;124053936;124053938;124053940;124053942;124053944;124053946;124053948;124053950;162286829;193783420;195973192;195973193;195973194;195973195;195973196;195973197;195973198;195973199;195973200;195973201;195973202;195973203;195973204;195973205;197209637;197209644;197724605;197724675;197724677;197724688;197724690;197724692;197724694;197724696;197724698;197724700;197724702;197724704;197724706;197724708;197724710;214010316;215254417;219055505;219055507;219055509;219055511;219055513;219055515;219055517;219055519;219055521;219055523;219055525;219055527;219055529;219055531;219055533;219055535;219055537;219055539;219055541;219055543;219055545;219055547;219055549;219055551;219055553;219055555;219055557;219055559;219055561;219055563;219055565;219055567;219055569;219055571;219055573;219055575;219055577;219055579;219055581;219055583;219055585;219055587;219055589;219055591;219055593;219055595;219055597;219055599;219055601;219055603,21603;325956;335965;387613;396292;776254;826261;828482;1098574;1288247;1338474;1452094;1490726;1501583;1521772;1563764;1599934;1627738;1639474;1684498;1705961;1752702;1759010;1857197;1930575;1932369;1980713;2019437;2029324;2037364;2117416;2129421;2189060;2202691;2303322;2317799;2403508;2409177;2450934;2481082;2504600;2506509;2514003;2542213;2559072;2668312;2783314;2958406;2967033;2971187;2975212;3063912;3087934;3099988;3216720;3286510;3327821;3536765;3545730;3583509;3729372;3804531;3849538;3881193;3908471;3988907;4006079;4361295;4601767;4607526;4790575;6128305;6132878;6186687;6339380;6372680;6375219;6398216;6398946;6403715;6419315;6428296;6547925;6784225;6819663;6874903;6990955;6991702;7002803;7041217;7111960;7119102;7271270;7486916;7489767;7540596;7648943;7664177;7729917;7868406
kluyvera ascorbata,Bacteria,homo sapiens,Human,254,0,668972718;668972541;668972474;668972407;668972282;668972240;668972215;668972030;668971988;668971929;668971901;668971821;668971747;668971687;668971620;668971411;668971403;668971335;668971310;668971226;668971134;668971012;668971002;668970960;668970952;668970478;668970466;668970453;668970145;668970127;668970107;668970048;668970031;668969942;668969920;668969816;668969774;668969756;668969692;668969648;668969554;668969511;668969316;668969225;668969184;668969127;668969117;668969004;668968962;668968653;668968402;668968383;668968355;668968241;668997690;668997531;668997153;668997024;668996864;668996647;668996398;668996165;668995987;668995889;668995779;668995526;668995424;668995322;668995191;668995083;668994983;668994884;668994783;668994535;668994430;668994357;668994225;668994116;668993935;668993721;668993481;668993392;668993307;668993170;668993010;668992958;668992801;668992380;668992229;668992105;668991942;668991898;668991818;668991655;668991530;668991434;668991304;668991238;668991097;668990730,NA
kluyvera cryocrescens,Bacteria,homo sapiens,Human,1,0,476003600,NA
kluyveromyces marxianus,Fungi,homo sapiens,Human,2,8,319429275;319429277,201698;2187195;3076734;6759396;6988992;10770753;15338856;16387379
kocuria marina,Bacteria,canis lupus,Mammal,1,0,149395014,NA
kocuria polaris,Bacteria,homo sapiens,Human,1,0,285200734,NA
kurthia gibsonii,Bacteria,cyprinus carpio,Fish,1,0,148716994,NA
kyasanur forest disease virus,Virus,homo sapiens,Human,9,3,15808385;24432113;219963025;219963026;297039753;313465621;313465623;323520050;323520052,12615309;17370534;6045044
kytococcus schroeteri,Bacteria,homo sapiens,Human,1,1,270037315,12361263
kytococcus sedentarius,Bacteria,homo sapiens,Human,5,1,285200783;285200784;285200786;285200788;285200792,12361263
labiosimplex australis,Helminth,macropus eugenii,Mammal,4,0,223019544;223019545;223019564;223019565,NA
lacazia loboi,Fungi,homo sapiens,Human,12,0,158726352;158726368;158726374;158726382;158726647;158726649;158726651;158726653;158967551;158967553;158967559;158967565,NA
lactobacillus acidipiscis,Bacteria,homo sapiens,Human,1,0,109628405,NA
lactobacillus acidophilus,Bacteria,homo sapiens,Human,5,95,70561306;285173009;285173011;285173013;285173015,119605;407715;1303695;1459421;1527509;2224835;3148988;3522408;6441900;6766508;8596226;8706825;8761680;8962060;9026452;9145446;9200156;9427844;9650259;9856644;10049865;10541481;10650214;10681709;10709985;10857928;11157343;11163713;11164262;11271813;11910358;11997164;12151233;12188456;12396385;12477438;12531338;12847288;14506056;15066833;15212784;15671160;15828186;15954651;16306191;16330102;16555648;17354475;17650211;17653931;17768180;17957115;17957119;17993372;18050954;18217947;18347582;18567760;18634896;18759092;18973338;19446905;19482952;19538306;19838618;19849869;20223288;20412906;20683456;21090263;21175746;21807435;21827767;22272124;21825295;20116228;18524434;18284678;16620202;16576567;15077551;13611131;12038581;11354263;10606147;9305229;8787408;8108275;7874079;4998146;4953278;4219840;4183966;1521350;814150
lactobacillus brevis,Bacteria,homo sapiens,Human,5,0,109628399;285176609;399886234;399886235;402170058,NA
lactobacillus casei,Bacteria,homo sapiens,Human,12,107,78322060;109628395;228481032;290784158;290784159;290784160;309387116;319748777;319748784;319748803;319748808;319748829,98617;102464;335940;405403;413623;828463;1722492;1905394;2118220;2119551;2447278;2542557;2675800;2987839;3082516;3094303;3109322;3533539;3931651;4201754;4212300;4219612;4631311;6410066;6783309;6953942;7575641;7607223;7923109;8031082;8354004;8917644;10377217;10606147;11157343;11163713;11283096;11316370;11375147;11409159;11758933;11959974;12089044;12167486;13513893;15469646;15574892;15705579;15715461;15748992;15835023;15954651;16330102;16367940;16553814;16620202;16903771;17004711;17139509;17199093;17263590;17381746;17993372;18172341;18433921;18540113;18567760;18826603;19291238;19407153;19709585;19735320;19786535;19838618;20112685;20116228;20223288;20385416;20680581;21327043;21807435;21696158;22063588;21584543;21515698;20737210;19425181;18511576;17659075;17217568;16385119;15940144;14010129;13313978;12614880;8862696;8097251;7995184;7631519;7473577
lactobacillus catenaformis,Bacteria,homo sapiens,Human,5,0,285176671;285176673;285176675;285176680;285176682,NA
lactobacillus coleohominis,Bacteria,homo sapiens,Human,2,0,285198787;285198789,NA
lactobacillus crispatus,Bacteria,homo sapiens,Human,29,7,30267932;30267933;30267937;30267938;30267942;37951173;78322026;78322027;78322028;78322030;78322033;78322034;78322061;78322062;78322063;78322065;78322072;239950093;239950099;285198790;285198791;285198792;285198794;285198796;285198798;285198800;285198802;285198804;285198806,10681709;15212784;15357724;17125424;18403235;21048705;21845850
lactobacillus delbrueckii,Bacteria,homo sapiens,Human,199,0,109628396;189345361;309387119;325684132;325684134;325684135;325684137;325684139;325684141;325684143;325684146;325684148;325684150;325684153;325684155;325684157;325684159;325684161;325684163;325684166;325684169;325684171;325684173;325684174;325684178;325684182;325684187;325684191;325684192;325684209;325684212;325684229;325684252;325684261;325684301;325684305;325684316;325684330;325684396;325684426;325684428;325684433;325684440;325684535;325684554;325684562;325684582;325684584;325684597;325684608;325684619;325684631;325684662;325684771;325684788;325684809;325684814;325684820;325684833;325684848;325684853;325684857;325684900;325684954;325684959;325684965;325684991;325685003;325685013;325685042;325685053;325685060;325685066;325685068;325685079;325685089;325685114;325685117;325685136;325685150;325685153;325685157;325685161;325685172;325685189;325685201;325685216;325685221;325685227;325685248;325685260;325685264;325685271;325685300;325685307;325685324;325685332;325685338;325685346;325685351,NA
lactobacillus fermentum,Bacteria,homo sapiens,Human,113,24,78322041;78322048;78322066;78322069;133926108;228481031;238909203;238909204;238909205;238909206;238909207;238909208;238909209;238909210;238909211;238909212;238909213;238909214;238909215;238909216;238909217;239950086;239950089;239950091;239950108;239950111;269969771;285179720;285179722;285179724;285179726;285179728;285179729;285179730;285179731;285179732;285179733;285179734;285179735;285179736;285179737;285179738;285179739;285179740;285179741;285179742;285179743;285179745;285179747;285179749;285179751;285179753;285179755;285179757;285179759;285179761;285179763;285179765;285179767;285179769;285179771;285179773;285179774;285179775;285179776;285179777;285179778;285179779;285179780;285179781;285179782;285179783;285179784;285179785;285179786;285179787;285179789;285179791;285179793;285179795;285179797;285179799;285179801;285179803;285179805;285179807;285179809;290784162;296805931;296805934;296805935;296805938;312270181;319748770;319748773;319748779;319748781;319748786;319748800;319748816,1303695;9044713;9200223;11163713;12151233;15184172;16834593;17241338;19281631;19758326;20038697;20112685;20223288;20412906;20668388;21175746;21535608;22155106;22063588;21845850;20070917;17640174;17352961;10848668
lactobacillus gasseri,Bacteria,homo sapiens,Human,239,19,30267934;78322057;78322073;109628394;133926107;239950088;239950090;239950110;254000542;254000545;257074927;269969762;269969765;269969767;269969769;269969770;269969772;285180450;285180452;285180454;285180456;285180458;285180460;285180462;285180464;285180466;285180468;285180470;285180474;285180476;285180478;285180482;285180484;285180486;285180488;285180490;285180492;285180494;285180496;285180498;285180500;285180504;285180508;285180512;285180514;285180516;285180521;285180523;285180525;285180536;285180537;285180539;285180540;285180542;285180543;285180547;285180549;285180551;285180553;285180559;285180561;285180563;285180567;285180569;285180571;285180575;285180577;285180579;285180581;285180583;285180587;285180606;285180608;285180612;285180614;285180616;285180623;285180625;285180629;285180631;285180633;285180635;285180637;285180639;285180641;285180643;285180645;285180647;285180649;285180651;285180653;285180657;285180658;285180659;285180660;285180661;285180662;285180663;285180664;285180665,7741797;8177022;10681709;11758933;15184172;15212784;16271414;16636989;16751577;16834593;17032235;17977471;18411284;19516191;20226062;21575044;21652104;21996276;22177712
lactobacillus gastricus,Bacteria,homo sapiens,Human,6,0,239950087;239950100;239950109;269969763;269969764;319748782,NA
lactobacillus helveticus,Bacteria,homo sapiens,Human,316,14,253720697;290784154;290784155;290784156;290784157;328461993;328462039;328462045;328462124;328462127;328462132;328462136;328462147;328462159;328462183;328462187;328462192;328462195;328462199;328462203;328462220;328462222;328462236;328462240;328462291;328462314;328462317;328462321;328462326;328462330;328462334;328462336;328462339;328462412;328462414;328462490;328462495;328462501;328462504;328462507;328462538;328462542;328462546;328462590;328462593;328462596;328462606;328462610;328462615;328462619;328462622;328462626;328462634;328462638;328462641;328462645;328462649;328462653;328462674;328462676;328462685;328462688;328462719;328462722;328462727;328462731;328462737;328462741;328462745;328462748;328462752;328462759;328462762;328462826;328462828;328462835;328462840;328462843;328462848;328462853;328462856;328462859;328462888;328462892;328462898;328462900;328462903;328462906;328462911;328462917;328462921;328462926;328462948;328462950;328462955;328462959;328462966;328462986;328462989;328462994,7859355;11927989;14769476;16764959;16907815;19050899;19202101;20055983;20112685;20145666;20412906;20586113;20974015;22146691
lactobacillus iners,Bacteria,homo sapiens,Human,74,2,30908971;30908972;30908973;30908974;30908975;30908976;30908977;30908978;30908979;30908980;30908981;30908982;78322023;78322029;78322036;282160682;285199432;285199434;285199436;285199438;315488464;315488466;315488468;315488470;315488471;315488472;315488473;315488882;315488886;315488888;315488890;315489131;315489219;315489365;315489457;315489465;315489559;315489562;315489567;315489627;315653032;315653092;315653097;315653100;315653194;315653202;315653294;315653440;315653528;315653769;315653771;315653773;315653777;315654186;315654187;315654188;315654189;315654191;315654193;315654195;317575610;317575611;317575612;317575613;317575614;317575615;317575616;319430703;319430704;319430705;319430706;319430707;319430708;319430709,21169489;21059957
lactobacillus jensenii,Bacteria,homo sapiens,Human,14,6,30267935;30267936;30267939;30267940;30267941;30267943;78322020;78322025;78322035;111608724;111608725;296805939;296805942;296805943,17005802;18411284;19925874;20412906;20890845;21845850
lactobacillus johnsonii,Bacteria,homo sapiens,Human,2,0,109628401;285198808,NA
lactobacillus kalixensis,Bacteria,homo sapiens,Human,1,0,269969766,NA
lactobacillus mucosae,Bacteria,homo sapiens,Human,9,1,254000537;254000539;254000540;254000541;254000543;254000544;254000546;254000547;341579617,15578160
lactobacillus oris,Bacteria,homo sapiens,Human,30,0,239950096;285192435;285192437;285192439;285192441;285192443;285192445;285192447;285192449;285192451;285192453;285192455;285192457;285192459;285192461;285192463;285192465;285192467;285192471;285192475;285192477;285192479;285192481;285192483;285192485;285192487;301088184;312270182;319748783;319748825,NA
lactobacillus parabuchneri,Bacteria,homo sapiens,Human,3,0,109628402;239950098;319748836,NA
lactobacillus paracasei,Bacteria,homo sapiens,Human,100,25,78322054;78322055;239950094;269969768;285192515;285192517;285192519;285192521;285192523;285192525;285192527;285192529;285192531;285192533;285192535;285192539;285192541;285192543;285192545;285192547;285192551;285192553;285192555;285192557;285192559;285192561;285192563;285192567;285192569;285192571;285192573;285192575;285192577;285192579;285192581;285192583;285192585;285192587;285192589;285192591;285192595;285192597;285192599;285192603;285192605;285192607;285192609;285192611;285192613;285192615;285192617;285192619;285192621;285192623;285192625;285192627;285192631;285192633;285192635;285192639;285192641;285192643;285192645;285192647;285192649;285192651;285192653;285192655;285192657;285192659;285192663;285192667;285192669;285192671;285192673;285192675;285192677;285192679;285192683;285192685;285192687;285192691;285192695;285192697;285192699;285192701;285192703;285192705;285192707;285192711;285192713;285192715;285192719;319748771;319748798;319748809;319748819;319748820;319748821;319748835,9200156;10681709;10930079;11157343;11322693;16085808;16101937;16764959;18059489;18279182;19029768;19365593;19534605;20223288;20226556;20385416;20412906;20495470;20669039;20927337;21515698;21535332;22159887;10831444;10076905
lactobacillus plantarum,Bacteria,homo sapiens,Human,112,73,78322045;78322059;82617073;109628400;195956988;198241634;206573461;206573462;221062062;221062064;221062066;228481028;285204355;285204357;285204359;285204361;285204363;285204365;285204367;285204369;285204371;285204373;285204375;285204377;285204379;285204381;285204383;285204385;285204387;285204389;285204391;285204393;285204395;285204397;285204399;285204401;285204403;285204405;285204407;285204409;285204411;285204413;285204415;285204417;285204419;285204421;285204423;285204425;285204427;285204429;285204431;285204433;285204435;285204437;285204439;285204441;285204443;285204445;285204447;285204449;285204451;285204453;285204455;285204457;285204459;285204461;285204463;285204465;285204467;285204469;285204471;285204473;285204475;285204477;285204479;285204481;285204483;285204485;285204487;285204489;285204491;285204493;285204495;285204497;285204499;285204501;285204503;285204505;285204507;285204509;285204511;285204513;285204515;285204517;285204519;285204521;285204523;285204524;285204526;285204528,1716036;9274026;9395055;9894687;10634225;10681709;10733280;10848668;11163713;11932444;12710480;14711651;15053327;15102775;15184172;15212784;15551474;15798491;15940144;16701514;16960376;17257264;17659075;17848808;18194256;18273409;18279182;18567760;18600067;18641972;19190178;19220903;19251334;19796123;20002138;20070917;20112685;20163065;20223288;20224147;20416373;20505752;20618863;20668388;20680581;20840550;21129777;21175746;21535510;21704418;21840806;22177712;22112916;22042657;21848906;22156394;21845445;21705551;21317263;20671196;20354993;19966486;19827797;19638173;19519855;16869994;16730458;16109954;15823960;12566566;10877812;3670125;2134144
lactobacillus reuteri,Bacteria,canis lupus,Mammal,2,0,32892068;32892069,NA
lactobacillus reuteri,Bacteria,homo sapiens,Human,215,0,189345362;269927495;269927505;269927507;269927509;269927511;269927531;269927533;269927535;269927539;269927573;269927589;269927591;269927603;269927605;269927607;269927609;269927611;269927613;269927615;269927621;269927623;269927625;269927627;269927635;269927637;269927649;269927665;269927681;269927731;269927739;269927741;269927743;269927745;269927765;269927767;269927769;269927773;269927807;269927823;269927825;269927837;269927839;269927841;269927843;269927845;269927847;269927849;269927855;269927857;269927859;269927861;269927867;269927869;269927881;269927895;269927913;269927963;269927971;269927973;269927975;269927977;269927997;269927999;269928001;269928005;269928039;269928055;269928057;269928069;269928071;269928073;269928075;269928077;269928079;269928081;269928087;269928089;269928091;269928093;269928099;269928101;269928113;269928127;269928145;269928191;269928201;269928203;269928205;269928207;269928227;269928229;269928231;269928235;269928269;269928285;269928287;269928299;269928301;269928303,NA
lactobacillus rhamnosus,Bacteria,homo sapiens,Human,2219,63,78322044;109628397;228481029;239950092;253720696;285194069;285194071;285194073;285194079;285194081;285194085;285194087;285194091;285194093;285194095;285194097;285194099;285194101;285194105;285194107;285194109;285194113;285194115;285194117;285194119;285194121;285194123;285194125;285194127;285194129;285194131;285194135;285194137;285194139;285194143;285194145;285194147;285194149;285194151;285194153;285194155;285201524;285201526;285201528;285201530;285201532;285201534;285201536;285201538;285201540;285201542;285201544;285201548;285201550;285201552;285201554;285201556;285201558;285201560;285201562;285201564;285201566;285201568;285201570;285201572;285201576;285201578;285201580;285201584;285201586;285201588;285201590;285201592;285201594;285201596;285201598;285201600;285201602;285201604;285201606;285201608;285201610;285201612;285201614;285201616;285201618;285201620;285201622;285201624;285201626;285201628;285201632;285201634;285201636;285201638;285201640;285201642;285201644;285201648;285201652,7654512;9172443;10068946;10681709;10831441;10857928;11283096;11316370;11375147;11518430;12644373;12853398;15184172;15189283;15322027;16085808;16768842;17098890;17250703;17318540;17434999;17684416;17848808;17957115;18050954;18273406;18279182;18461293;18506924;18567760;18589606;18634896;18685510;18773127;19018955;19202101;19365593;19416357;19458027;19555432;19714766;19796123;19820099;19889806;20070917;20097952;20383346;20385416;20388096;20438620;20464748;20618863;20696472;20846331;21327043;21386995;21515698;21554806;21606604;21840698;22146691;22079067;22177712
lactobacillus ruminis,Bacteria,homo sapiens,Human,135,0,109628398;317183725;317183729;323090989;323091002;323091009;323091017;323091042;323091054;323091059;323091127;323091155;323091177;323091275;323091294;323091338;323091431;323091565;323091672;323091694;323091732;323091966;323091982;323091999;323092120;323092144;323092207;323092211;323092253;323092271;323092289;323092303;323092310;323092456;323092496;323092585;323092632;323092663;323092785;323092869;323092929;323092942;323092958;323093012;323093043;323093063;323093068;323093076;323093113;323093118;323093130;323093156;323093184;323093192;323093206;323093223;323093241;323093254;323093274;323093285;323093291;323093298;323339277;323339284;323339290;323339301;323339321;323339334;323339352;323339369;323339383;323339391;323339419;323339445;323339457;323339462;323339499;323339507;323339512;323339532;323339563;323339617;323339633;323339646;323339706;323339790;323339912;323339943;323339990;323340079;323340119;323340265;323340272;323340286;323340304;323340322;323340364;323340368;323340431;323340455,NA
lactobacillus sakei,Bacteria,homo sapiens,Human,1,1,109628404,22177712
lactobacillus salivarius,Bacteria,homo sapiens,Human,28,17,30267944;239950095;285194754;285194758;285194760;285194763;285194765;285194766;285194768;285194772;285194778;285194780;285194782;285194784;285194786;285194788;285194792;285194794;285194804;285194806;285194808;285194812;285194814;285194816;292385841;312270183;399886226;399886233,10681709;10831444;11932444;16293657;16570693;16751526;16834593;17049317;17241338;17261517;18279182;19591924;20349113;21131523;20159049;17416691;16843562
lactobacillus ultunensis,Bacteria,homo sapiens,Human,1,0,218937742,NA
