"","ename","bcomp","genus","family","common","inames","log_base_cort","log_fledging_age_d","log_longevity","mig_disp","breed_lat","log_elevation_upper","swos","log_area","log_birth_or_hatching_weight_g","log_fmass","log_emass","incubation_d","winter_lat","log_ed_fair","s_mdist","pop_decreasing","litter_or_clutch_size_n","log_femalemat","ptaxa1","log_mass","litters_or_clutches_per_y","Diet.Seed","ForStrat.ground","passerine","ForStrat.midhigh","family_Turdidae","Diet.Inv","ForStrat.understory","Diet.Nect","diet_diversity","family_Fringillidae","family_Parulidae","ForStrat.canopy","Diet.PlantO","log_stress_cort","Diet.Fruit","pop_increasing","log_malemat","marine_system","pop_stable","freshwater_system","family_Emberizidae","foraging_diversity","mig_fullmigrant","mig_partialmigrant","Diet.Vect","family_Sylviidae","Diet.Vend","family_Paridae","mig_resident","family_Muscicapidae","IUCN_LC","Diet.Scav","unique_name"
"3397","Poecile hudsonicus",NA,"Poecile","Paridae","Boreal Chickadee","Poecile hudsonicus",NA,1.25527250510331,0.845098040014257,0,57.34342862,3.31597034545692,3.3166247903554,6.85141048278041,NA,NA,0.0791812460476248,15,57.34342862,-2.41316804076771,0,"1",6.5,2.56229286445647,"0",0.991226075692495,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","0","1","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile hudsonicus"
"3398","Poecile hypermelaenus",NA,"Poecile","Paridae","Black-bibbed Tit","Poecile hypermelaenus",NA,1.25527250510331,1.07615479153892,0,29.64281936,3.63042787502502,1,5.80996949620677,NA,NA,0.0934216851622351,14,29.64281936,-2.41484577580633,0,"0",8,2.56138048325787,"0",1.05499586152914,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","1","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile hypermelaenus"
"3399","Poecile hyrcanus",NA,"Poecile","Paridae","Caspian Tit","Poecile hyrcanus",NA,NA,NA,0,36.93448553,NA,0,4.88913454858882,NA,NA,0.227886704613674,NA,36.93448553,-2.40196442382342,0,"0",6.515,NA,"0",1.23992481326215,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile hyrcanus"
"3400","Poecile lugubris",NA,"Poecile","Paridae","Sombre Tit","Poecile lugubris",NA,NA,NA,0,39.35590002,NA,1.73205080756888,6.10761208818171,NA,NA,0.227886704613674,NA,39.35590002,-2.33504927219631,0,"0",6.515,NA,"0",1.23992481326215,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile lugubris"
"3401","Poecile montanus",0,"Poecile","Paridae","Willow Tit","Poecile montanus",NA,1.25527250510331,1.05435766219486,0,55.3428688,3.63093611906419,5.65685424949238,7.34683952108719,NA,NA,0.0951693514317552,13,55.3428688,-2.41484577580633,0,"1",7.5,2.56152950146357,"0",1.04921802267018,1,20,0,"1",80,"0",60,20,0,3,"0","0",0,0,NA,20,"0",NA,"0","0","1","0",2,"0","0",0,"0",0,"1","1","0","1",0,"Poecile montanus"
"3402","Poecile palustris",1,"Poecile","Paridae","Marsh Tit","Poecile palustris",NA,1.25527250510331,1.07615479153892,0,49.32497097,3.39794000867204,7.81024967590665,6.95770950854811,NA,NA,0.0934216851622351,14,49.32497097,-2.38536288985526,0,"1",8,2.56138048325787,"0",1.05499586152914,1,20,0,"1",80,"0",50,20,0,4,"0","0",0,10,NA,20,"0",2.56229286445647,"1","0","1","0",2,"0","0",0,"0",0,"1","1","0","1",0,"Poecile palustris"
"3403","Poecile rufescens",NA,"Poecile","Paridae","Chestnut-backed Chickadee","Poecile rufescens",NA,NA,0.977723605288848,0,49.83226808,3.26245108973043,4,5.98139812575745,NA,NA,0.0644579892269184,13,49.83226808,-2.41316804076771,0,"0",6.5,2.56138048325787,"0",0.986771734266245,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"1",2.56229286445647,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile rufescens"
"3404","Poecile sclateri",NA,"Poecile","Paridae","Mexican Chickadee","Poecile sclateri",NA,NA,1.00432137378264,0,23.85809257,3.54530711646582,1.73205080756888,5.30502391147398,NA,NA,-0.0457574905606751,NA,23.85809257,-2.41534412973718,0,"1",6,2.56229286445647,"0",1.02734960777476,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile sclateri"
"3405","Poecile superciliosus",NA,"Poecile","Paridae","White-browed Tit","Poecile superciliosus",NA,NA,NA,0,34.66628204,3.62685341466673,0,5.73779467663513,NA,NA,NA,NA,34.66628204,-2.33504927219631,0,"0",NA,NA,"0",1.06258198422816,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile superciliosus"
"3406","Poecile varius",0,"Poecile","Paridae","Varied Tit","Sittiparus varius",NA,NA,NA,0,38.47287154,NA,1.4142135623731,5.84063744867618,NA,NA,0.238046103128795,NA,38.47287154,-2.31678754352278,0,"0",7.2,NA,"0",1.23108712058482,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile varius"
"3407","Poecile weigoldicus",NA,"Poecile","Paridae","Sichuan Tit","Poecile weigoldicus",NA,1.25527250510331,1.05435766219486,NA,NA,3.63093611906419,1,NA,NA,NA,0.0951693514317552,13,NA,-2.31678754352278,NA,"0",7.5,2.56152950146357,"0",1.04921802267018,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","1","0",NA,NA,NA,NA,"0",NA,"1",NA,"0","1",NA,"Poecile weigoldicus"
"3408","Poecilotriccus albifacies",NA,"Poecilotriccus","Tyrannidae","White-cheeked Tody-Flycatcher","Poecilotriccus albifacies",NA,NA,NA,0,-12.62601115,3.04139268515822,0,3.60752938885517,NA,NA,NA,NA,-12.62601115,-2.48757942866862,0,"1",NA,NA,"0",0.903089986991944,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Poecilotriccus albifacies"
"3409","Poecilotriccus calopterus",NA,"Poecilotriccus","Tyrannidae","Golden-winged Tody-Flycatcher","Poecilotriccus calopterus",NA,NA,NA,0,-1.63975434,3.16136800223497,0,5.31929104278383,NA,NA,NA,NA,-1.63975434,-2.51047306450693,0,"1",NA,NA,"0",0.90036712865647,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","0","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Mecocerculus calopterus"
"3410","Poecilotriccus capitalis",NA,"Poecilotriccus","Tyrannidae","Black-and-white Tody-Flycatcher","Poecilotriccus capitalis",NA,NA,NA,0,-4.08125105,3.13033376849501,1,5.72039844490722,NA,NA,NA,NA,-4.08125105,-2.48757942866862,0,"1",NA,NA,"0",0.903089986991944,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Poecilotriccus capitalis"
"3411","Poecilotriccus fumifrons",NA,"Poecilotriccus","Tyrannidae","Smoky-fronted Tody-Flycatcher","Poecilotriccus fumifrons",NA,NA,NA,0,-4.06322594,2.60205999132796,0,6.31286780029378,NA,NA,NA,NA,-4.06322594,-2.28238031104757,0,"1",NA,NA,"0",0.832508912706236,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","0","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Poecilotriccus fumifrons"
"3412","Poecilotriccus latirostris",NA,"Poecilotriccus","Tyrannidae","Rusty-fronted Tody-Flycatcher","Poecilotriccus latirostris",NA,NA,NA,0,-10.26034136,3.04139268515822,0,6.66848873103095,NA,NA,NA,NA,-10.26034136,-2.46401684208155,0,"0",NA,NA,"0",0.90848501887865,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","1","1","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Poecilotriccus latirostris"
"3413","Poecilotriccus luluae",NA,"Poecilotriccus","Tyrannidae","Lulu's Tody-Flycatcher","Poecilotriccus luluae",NA,NA,NA,0,-5.73251655,3.41497334797082,0,2.55851699511521,NA,NA,NA,NA,-5.73251655,-2.30041803176249,0,"1",NA,NA,"0",0.863322860120456,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Poecilotriccus luluae"
